NCTC_9681	salmonella_enterica_subsp._salamae				
NCTC_9680	Bacillus_cereus				
NCTC_9676	salmonella_enterica_subsp._enterica				
NCTC_9668	klebsiella_aerogenes				
NCTC_9667	klebsiella_aerogenes				
NCTC_9666	Klebsiella_pneumoniae_subsp._ozaenae				
NCTC_9662	Klebsiella_pneumoniae_subsp._ozaenae				
NCTC_9661	Klebsiella_pneumoniae_subsp._ozaenae				
NCTC_9660	klebsiella_aerogenes				
NCTC_9659	Klebsiella_pneumoniae_subsp._ozaenae				
NCTC_9657	Klebsiella_pneumoniae_subsp._ozaenae				
NCTC_9656	klebsiella_aerogenes				
NCTC_9652	klebsiella_aerogenes				
NCTC_9646	klebsiella_aerogenes				
NCTC_9645	Klebsiella_pneumoniae_subsp._ozaenae				
NCTC_9644	klebsiella_aerogenes				
NCTC_9637	Klebsiella_pneumoniae				
NCTC_9636	Klebsiella_pneumoniae				
NCTC_9635	Klebsiella_pneumoniae				
NCTC_9634	Klebsiella_pneumoniae				
NCTC_9633	Klebsiella_pneumoniae				
NCTC_9632	Klebsiella_pneumoniae				
NCTC_963	Micrococcus_lylae				
NCTC_9623	Escherichia_coli				
NCTC_962	Bacillus_licheniformis				
NCTC_9617	klebsiella_edwardsii_var._atlantae				
NCTC_9616	klebsiella_edwardsii_var._edwardsii				
NCTC_9614	Staphylococcus_aureus				
NCTC_9613	Staphylococcus_aureus				
NCTC_9612	Staphylococcus_aureus				
NCTC_9611	Staphylococcus_aureus				
NCTC_9609	Salmonella_				
NCTC_9608	Salmonella_				
NCTC_9607	Salmonella_				
NCTC_9606	salmonella_enterica_subsp._salamae				
NCTC_9605	Salmonella_				
NCTC_9604	salmonella_enterica_subsp._salamae				
NCTC_9603	Streptococcus_				
NCTC_9602	Bacillus_sphaericus				
NCTC_9601	Klebsiella_pneumoniae_subsp._ozaenae				
NCTC_9600	Salmonella_				
NCTC_96	salmonella_enterica_subsp._enterica				
NCTC_9599	salmonella_enterica_subsp._salamae				
NCTC_9575	Clostridium_tetani				
NCTC_9574	Clostridium_tetani				
NCTC_9573	Clostridium_tetani				
NCTC_9571	Clostridium_tetani				
NCTC_9570	Clostridium_tetani				
NCTC_9569	Clostridium_tetani				
NCTC_9568	Clostridium_tetani				
NCTC_9567	Clostridium_tetani				
NCTC_9559	Proteus_mirabilis				
NCTC_9556	Staphylococcus_aureus				
NCTC_9555	Staphylococcus_aureus				
NCTC_9553	Staphylococcus_aureus				
NCTC_9552	Staphylococcus_aureus				
NCTC_9551	Staphylococcus_aureus				
NCTC_9547	Staphylococcus_aureus				
NCTC_9546	Staphylococcus_aureus				
NCTC_9540	Hafnia_alvei				
NCTC_9529	Cronobacter_universalis				
NCTC_9528	Raoultella_planticola				
NCTC_9527	klebsiella_aerogenes				
NCTC_9509	Yersinia_pseudotuberculosis				
NCTC_9508	Yersinia_pseudotuberculosis				
NCTC_9507	Yersinia_pseudotuberculosis				
NCTC_9506	Shigella_sonnei				
NCTC_9504	Klebsiella_pneumoniae_subsp._pneumoniae				
NCTC_950	Pseudomonas_aeruginosa				
NCTC_9499	klebsiella_aerogenes				
NCTC_9498	klebsiella_edwardsii_var._atlantae				
NCTC_9496	klebsiella_edwardsii_var._atlantae				
NCTC_9495	klebsiella_edwardsii_var._atlantae				
NCTC_9494	klebsiella_pneumoniae_subsp_pneumoniae				
NCTC_9493	Serratia_plymuthica				
NCTC_9492	Shigella_sonnei				
NCTC_949	Corynebacterium_kutscheri				
NCTC_948	Pasteurella_multocida				
NCTC_946	Mycobacterium_chelonae_subsp._chelonae				
NCTC_9436	Bacillus_pumilus				
NCTC_9435	Actinobacillus_equuli				
NCTC_9434	Escherichia_coli				
NCTC_9433	Pseudomonas_aeruginosa				
NCTC_9432	Bacillus_circulans				
NCTC_9431	Actinomyces_bovis				
NCTC_9430	Actinomyces_bovis				
NCTC_9429	Actinomyces_bovis				
NCTC_9428	Pseudomonas_fluorescens				
NCTC_9427	Acinetobacter_calcoaceticus				
NCTC_9426	Moraxella_(moraxella)_bovis				
NCTC_9425	Moraxella_(moraxella)_bovis				
NCTC_9423	vibrio_cholerae_biotype_el_tor				
