DSM_No	Name	Recommended_T_(C)	Domain
9309	Acinetobacter_genomospecies_3	28	Bacteria
9310	Acinetobacter_genomospecies_3	28	Bacteria
9311	Acinetobacter_genomospecies_3	28	Bacteria
9313	Acinetobacter_genomospecies_3	28	Bacteria
9314	Acinetobacter_genomospecies_3	28	Bacteria
9315	Acinetobacter_genomospecies_3	28	Bacteria
9316	Acinetobacter_genomospecies_3	28	Bacteria
9317	Acinetobacter_genomospecies_3	28	Bacteria
9319	Acinetobacter_genomospecies_3	28	Bacteria
9320	Acinetobacter_genomospecies_3	28	Bacteria
9321	Acinetobacter_genomospecies_3	28	Bacteria
9337	Acinetobacter_genomospecies_3	28	Bacteria
9338	Acinetobacter_genomospecies_3	28	Bacteria
9339	Acinetobacter_genomospecies_3	28	Bacteria
9340	Acinetobacter_genomospecies_3	28	Bacteria
9342	Acinetobacter_genomospecies_3	28	Bacteria
9343	Acinetobacter_genomospecies_3	28	Bacteria
9449	Acinetobacter_genomospecies_3	28	Bacteria
14967	Acinetobacter_gerneri	30	Bacteria
590	Acinetobacter_guillouiae	30	Bacteria
22705	Acinetobacter_gyllenbergii	37	Bacteria
6962	Acinetobacter_haemolyticus	28	Bacteria
25388	Acinetobacter_indicus	30	Bacteria
6963	Acinetobacter_johnsonii	28	Bacteria
30618	Acinetobacter_johnsonii	28	Bacteria
30636	Acinetobacter_johnsonii	28	Bacteria
30746	Acinetobacter_johnsonii	28	Bacteria
1532	Acinetobacter_junii	30	Bacteria
14968	Acinetobacter_junii	30	Bacteria
6964	Acinetobacter_junii	28	Bacteria
29071	Acinetobacter_kookii	37	Bacteria
2403	Acinetobacter_lwoffii	30	Bacteria
30502	Acinetobacter_lwoffii	28	Bacteria
30543	Acinetobacter_lwoffii	28	Bacteria
30544	Acinetobacter_lwoffii	28	Bacteria
30545	Acinetobacter_lwoffii	28	Bacteria
30554	Acinetobacter_lwoffii	28	Bacteria
30571	Acinetobacter_lwoffii	28	Bacteria
30617	Acinetobacter_lwoffii	28	Bacteria
30754	Acinetobacter_lwoffii	28	Bacteria
30932	Acinetobacter_lwoffii	28	Bacteria
30935	Acinetobacter_lwoffii	28	Bacteria
16312	Acinetobacter_marinus	30	Bacteria
16617	Acinetobacter_parvus	28	Bacteria
25618	Acinetobacter_pittii	30	Bacteria
9312	Acinetobacter_pittii	28	Bacteria
9318	Acinetobacter_pittii	28	Bacteria
9341	Acinetobacter_pittii	28	Bacteria
6976	Acinetobacter_radioresistens	28	Bacteria
24031	Acinetobacter_rudis	30	Bacteria
16038	Acinetobacter_schindleri	28	Bacteria
16313	Acinetobacter_seohaensis	30	Bacteria
19415	Acinetobacter_septicus	37	Bacteria
22956	Acinetobacter_soli	28	Bacteria
46612	Acinetobacter_sp.	37	Bacteria
586	Acinetobacter_sp.	30	Bacteria
587	Acinetobacter_sp.	30	Bacteria
588	Acinetobacter_sp.	30	Bacteria
12734	Acinetobacter_sp.	30	Bacteria
14960	Acinetobacter_sp.	30	Bacteria
14965	Acinetobacter_sp.	30	Bacteria
16482	Acinetobacter_sp.	30	Bacteria
17874	Acinetobacter_sp.	30	Bacteria
30009	Acinetobacter_sp.	30	Bacteria
30010	Acinetobacter_sp.	30	Bacteria
30012	Acinetobacter_sp.	30	Bacteria
30013	Acinetobacter_sp.	30	Bacteria
7324	Acinetobacter_sp.	28	Bacteria
11652	Acinetobacter_sp.	28	Bacteria
30641	Acinetobacter_sp.	28	Bacteria
30688	Acinetobacter_sp.	28	Bacteria
30706	Acinetobacter_sp.	28	Bacteria
30741	Acinetobacter_sp.	28	Bacteria
30742	Acinetobacter_sp.	28	Bacteria
11042	Acinetobacter_sp.	25	Bacteria
25761	Acinetobacter_sp.	25	Bacteria
14970	Acinetobacter_tandoii	30	Bacteria
14966	Acinetobacter_tjernbergiae	30	Bacteria
14971	Acinetobacter_tjernbergiae	30	Bacteria
14962	Acinetobacter_towneri	30	Bacteria
14969	Acinetobacter_towneri	30	Bacteria
16037	Acinetobacter_ursingii	28	Bacteria
30867	Acinetobacter_ursingii	28	Bacteria
23050	Acinetobacter_venetianus	28	Bacteria
2683	Acremonium_atrogriseum	24	Fungi
880	Acremonium_chrysogenum	24	Fungi
2399	Acremonium_chrysogenum	24	Fungi
1549	Acremonium_curvulum	24	Fungi
21752	Acremonium_exuviarum	23	Fungi
3533	Acremonium_fusidioides	26	Fungi
63375	Acremonium_murorum	24	Fungi
1052	Acremonium_persicinum	24	Fungi
1073	Acremonium_persicinum	24	Fungi
16236	Acremonium_strictum	25	Fungi
3481	Acremonium_strictum	22	Fungi
15965	Acremonium_strictum	22	Fungi
3567	Acremonium_strictum	20	Fungi
1553	Acremonium_zonatum	45	Fungi
43316	Acrocarpospora_corrugata	28	Bacteria
44705	Acrocarpospora_macrocephala	28	Bacteria
45867	Acrocarpospora_phusangensis	28	Bacteria
44706	Acrocarpospora_pleiomorpha	28	Bacteria
28448	Actibacterium_mucosum	30	Bacteria
44982	Actinacidiphilus_wushanense	28	Bacteria
44950	Actinoacidiphilus_directus	28	Bacteria
44951	Actinoacidiphilus_flexuosus	28	Bacteria
44949	Actinoacidiphilus_helicoides	28	Bacteria
45503	Actinoallomurus_acaciae	28	Bacteria
45727	Actinoallomurus_acanthiterrae	28	Bacteria
45447	Actinoallomurus_amamiensis	28	Bacteria
45450	Actinoallomurus_coprocola	28	Bacteria
45446	Actinoallomurus_fulvus	28	Bacteria
45448	Actinoallomurus_iriomotensis	28	Bacteria
45857	Actinoallomurus_liliacearum	28	Bacteria
45452	Actinoallomurus_luridus	28	Bacteria
45651	Actinoallomurus_oryzae	28	Bacteria
45449	Actinoallomurus_purpureus	28	Bacteria
45523	Actinoallomurus_radicium	28	Bacteria
43459	Actinoallomurus_spadix	28	Bacteria
45858	Actinoallomurus_vinaceus	28	Bacteria
45451	Actinoallomurus_yoronensis	28	Bacteria
40103	Actinoalloteichus_cyanogriseus	28	Bacteria
43889	Actinoalloteichus_cyanogriseus	28	Bacteria
45092	Actinoalloteichus_hymeniacidonis	28	Bacteria
45655	Actinoalloteichus_nanshanensis	28	Bacteria
44848	Actinoalloteichus_spitiensis	30	Bacteria
26423	Actinobacillus_anseriformium	37	Bacteria
22258	Actinobacillus_arthritidis	37	Bacteria
19761	Actinobacillus_capsulatus	37	Bacteria
11374	Actinobacillus_delphinicola	37	Bacteria
19655	Actinobacillus_equuli_subsp._equuli	37	Bacteria
22436	Actinobacillus_equuli_subsp._haemolyticus	37	Bacteria
14528	Actinobacillus_genomospecies_2	37	Bacteria
22262	Actinobacillus_hominis	37	Bacteria
22264	Actinobacillus_indolicus	37	Bacteria
19770	Actinobacillus_lignieresii	37	Bacteria
22256	Actinobacillus_lignieresii	37	Bacteria
22206	Actinobacillus_muris	37	Bacteria
13472	Actinobacillus_pleuropneumoniae	37	Bacteria
21511	Actinobacillus_pleuropneumoniae	37	Bacteria
22435	Actinobacillus_porcinus	37	Bacteria
17479	Actinobacillus_rossii	37	Bacteria
22205	Actinobacillus_scotiae	37	Bacteria
22263	Actinobacillus_seminis	37	Bacteria
22257	Actinobacillus_succinogenes	37	Bacteria
19774	Actinobacillus_suis	37	Bacteria
22433	Actinobacillus_suis	37	Bacteria
5568	Actinobacillus_ureae	37	Bacteria
19118	Actinobaculum_massiliense	37	Bacteria
15541	Actinobaculum_schaalii	37	Bacteria
20639	Actinobaculum_suis	37	Bacteria
15805	Actinobaculum_urinale	37	Bacteria
45178	Actinocatenispora_rupis	28	Bacteria
45336	Actinocatenispora_sera	28	Bacteria
44816	Actinocatenispora_thailandica	28	Bacteria
43924	Actinocorallia_aurantiaca	37	Bacteria
44001	Actinocorallia_aurantiaca	28	Bacteria
44434	Actinocorallia_aurea	28	Bacteria
45040	Actinocorallia_cavernae	28	Bacteria
44360	Actinocorallia_glomerata	28	Bacteria
44254	Actinocorallia_herbida	28	Bacteria
43554	Actinocorallia_libanotica	28	Bacteria
43556	Actinocorallia_libanotica	28	Bacteria
46189	Actinocorallia_libanotica	28	Bacteria
44361	Actinocorallia_longicatena	28	Bacteria
44650	Actinokineospora_auranticolor	28	Bacteria
45656	Actinokineospora_baliensis	28	Bacteria
46700	Actinokineospora_bangkokensis	28	Bacteria
45658	Actinokineospora_cibodasensis	28	Bacteria
44255	Actinokineospora_diospyrosa	28	Bacteria
44649	Actinokineospora_enzanensis	28	Bacteria
43855	Actinokineospora_fastidiosa	28	Bacteria
45492	Actinokineospora_fastidiosa	28	Bacteria
45552	Actinokineospora_fastidiosa	28	Bacteria
44256	Actinokineospora_globicatena	28	Bacteria
44257	Actinokineospora_globicatena	28	Bacteria
44258	Actinokineospora_inagensis	28	Bacteria
44259	Actinokineospora_riparia	28	Bacteria
45613	Actinokineospora_soli	28	Bacteria
44260	Actinokineospora_terrae	28	Bacteria
45045	Actinomadura_alba	28	Bacteria
45861	Actinomadura_apis	28	Bacteria
43919	Actinomadura_atramentaria	28	Bacteria
45347	Actinomadura_bangladeshensis	28	Bacteria
44772	Actinomadura_catellatispora	28	Bacteria
45038	Actinomadura_chibensis	37	Bacteria
45346	Actinomadura_chokoriensis	28	Bacteria
43461	Actinomadura_citrea	28	Bacteria
43675	Actinomadura_coerulea	28	Bacteria
43676	Actinomadura_cremea	28	Bacteria
43163	Actinomadura_echinospora	37	Bacteria
44224	Actinomadura_fibrosa	28	Bacteria
45200	Actinomadura_flavalba	28	Bacteria
43997	Actinomadura_formosensis	28	Bacteria
43923	Actinomadura_fulvescens	37	Bacteria
45508	Actinomadura_geliboluensis	28	Bacteria
44770	Actinomadura_glauciflava	28	Bacteria
45043	Actinomadura_hallensis	28	Bacteria
44148	Actinomadura_hibisca	28	Bacteria
45195	Actinomadura_keratinilytica	45	Bacteria
43764	Actinomadura_kijaniata	28	Bacteria
46198	Actinomadura_latina	37	Bacteria
46199	Actinomadura_latina	37	Bacteria
46201	Actinomadura_latina	30	Bacteria
43382	Actinomadura_latina	28	Bacteria
46198	Actinomadura_latina	28	Bacteria
46201	Actinomadura_latina	28	Bacteria
43677	Actinomadura_livida	28	Bacteria
40398	Actinomadura_luteofluorescens	28	Bacteria
43862	Actinomadura_macra	28	Bacteria
43067	Actinomadura_madurae	37	Bacteria
43236	Actinomadura_madurae	37	Bacteria
46006	Actinomadura_madurae	37	Bacteria
46007	Actinomadura_madurae	37	Bacteria
43121	Actinomadura_madurae	28	Bacteria
43122	Actinomadura_madurae	28	Bacteria
43123	Actinomadura_madurae	28	Bacteria
43380	Actinomadura_madurae	28	Bacteria
43381	Actinomadura_madurae	28	Bacteria
44005	Actinomadura_madurae	28	Bacteria
46181	Actinomadura_madurae	28	Bacteria
46182	Actinomadura_madurae	28	Bacteria
45252	Actinomadura_meridiana	28	Bacteria
44485	Actinomadura_mexicana	28	Bacteria
44715	Actinomadura_meyerae	28	Bacteria
44197	Actinomadura_namibiensis	28	Bacteria
44846	Actinomadura_napierensis	28	Bacteria
44137	Actinomadura_nitritigenes	28	Bacteria
44761	Actinomadura_nitritigenes	28	Bacteria
44762	Actinomadura_nitritigenes	28	Bacteria
43928	Actinomadura_oligospora	28	Bacteria
43237	Actinomadura_pelletieri	37	Bacteria
46196	Actinomadura_pelletieri	37	Bacteria
43117	Actinomadura_pelletieri	28	Bacteria
43118	Actinomadura_pelletieri	28	Bacteria
43383	Actinomadura_pelletieri	28	Bacteria
43384	Actinomadura_pelletieri	28	Bacteria
43936	Actinomadura_rifamycini	28	Bacteria
43750	Actinomadura_rubrobrunea	55	Bacteria
43751	Actinomadura_rubrobrunea	55	Bacteria
46178	Actinomadura_rubrobrunea	55	Bacteria
44962	Actinomadura_rudentiformis	28	Bacteria
44130	Actinomadura_rugatobispora	28	Bacteria
45251	Actinomadura_rupiterrae	28	Bacteria
45225	Actinomadura_scrupuli	28	Bacteria
45500	Actinomadura_sediminis	28	Bacteria
43932	Actinomadura_sp.	37	Bacteria
44006	Actinomadura_sp.	30	Bacteria
44007	Actinomadura_sp.	30	Bacteria
43766	Actinomadura_sp.	28	Bacteria
44003	Actinomadura_sp.	28	Bacteria
